Player,Price
Cody Bellinger - LAD,$42 
Freddie Freeman - ATL,$42 
Jose Abreu - CWS,$27 
Pete Alonso - NYM,$22 
DJ LeMahieu - NYY,$21 
Vladimir Guerrero Jr. - TOR,$20 
Luke Voit - NYY,$11 
Anthony Rizzo - CHC,$16 
Josh Bell - WSH,$15 
Paul Goldschmidt - STL,$15 
Matt Olson - OAK,$15 
Rhys Hoskins - PHI,$13 
Wil Myers - SD,$11 
Eric Hosmer - SD,$11 
Yasmani Grandal - CWS,$10 
Max Muncy - LAD,$10 
Mike Moustakas - CIN,$10 
Miguel Sano - MIN,$10 
Brandon Lowe - TB,$9 
Travis d'Arnaud - ATL,$8 
Alec Bohm - PHI,$8 
Ryan Mountcastle - BAL,$8 
Trey Mancini - BAL,$8 
Christian Walker - ARI,$7 
Christian Vazquez - BOS,$6 
Dominic Smith - NYM,$6 
Carlos Santana - KC,$5 
Mark Canha - OAK,$5 
Joc Pederson - CHC,$5 
Yuli Gurriel - HOU,$4 
Joey Votto - CIN,$3 
Hunter Dozier - KC,$3 
C.J. Cron - COL,$3 
Jared Walsh - LAA,$2 
Jesus Aguilar - MIA,$2 
Austin Nola - SD,$1 
Jeimer Candelario - DET,$1 
Ryan McMahon - COL,$1 
Nate Lowe - TEX,$1 
Bobby Dalbec - BOS,$1 
