Player,Price
Josh Hader - MIL,$15 
Carlos Carrasco - NYM,$14 
Liam Hendriks - CWS,$14 
Aroldis Chapman - NYY,$12 
Edwin Diaz - NYM,$12 
Kenta Maeda - MIN,$10 
Raisel Iglesias - LAA,$9 
Corbin Burnes - MIL,$8 
Ryan Pressly - HOU,$8 
James Karinchak - CLE,$8 
Nick Anderson - TB,$8 
Jesus Luzardo - OAK,$7 
Kenley Jansen - LAD,$7 
Framber Valdez - HOU,$6 
Kevin Gausman - SF,$6 
Brad Hand - WSH,$6 
Craig Kimbrel - CHC,$6 
Roberto Osuna -,$6 
Will Smith - ATL,$6 
Taylor Rogers - MIN,$5 
Julio Urias - LAD,$4 
Devin Williams - MIL,$4 
Rafael Montero - SEA,$4 
Giovanny Gallegos - STL,$4 
Diego Castillo - TB,$4 
Matt Barnes - BOS,$4 
Chris Martin - ATL,$4 
Drew Pomeranz - SD,$3 
Richard Rodriguez - PIT,$3 
Trevor Rosenthal - OAK,$3 
Chad Green - NYY,$3 
Pete Fairbanks - TB,$3 
Joakim Soria - ARI,$3 
Emilio Pagan - SD,$3 
Dustin May - LAD,$2 
Ryan Yarbrough - TB,$2 
Tony Gonsolin - LAD,$2 
Freddy Peralta - MIL,$2 
Alex Colome - MIN,$2 
Brent Suter - MIL,$2 
Jordan Hicks - STL,$2 
Hector Neris - PHI,$2 
Amir Garrett - CIN,$2 
Seth Lugo - NYM,$2 
Jake McGee - SF,$2 
Caleb Ferguson - LAD,$2 
Archie Bradley - PHI,$2 
Trevor May - NYM,$2 
Brusdar Graterol - LAD,$2 
Jake Diekman - OAK,$2 
Yimi Garcia - MIA,$2 
Nathan Eovaldi - BOS,$1 
Colin Poche - TB,$1 
Alex Wood - SF,$1 
Elieser Hernandez - MIA,$1 
