Player,Price
Ozzie Albies - ATL,$23 
DJ LeMahieu - NYY,$21 
Gleyber Torres - NYY,$18 
Whit Merrifield - KC,$18 
Jose Altuve - HOU,$16 
Keston Hiura - MIL,$13 
Ketel Marte - ARI,$13 
Lourdes Gurriel Jr. - TOR,$12 
Jeff McNeil - NYM,$12 
Max Muncy - LAD,$10 
Mike Moustakas - CIN,$10 
Brandon Lowe - TB,$9 
Cavan Biggio - TOR,$9 
Ian Happ - CHC,$8 
Jean Segura - PHI,$5 
Eduardo Escobar - ARI,$3 
Nick Solak - TEX,$3 
David Fletcher - LAA,$2 
Chris Taylor - LAD,$2 
Tommy Edman - STL,$2 
Nick Madrigal - CWS,$2 
Austin Nola - SD,$1 
Jonathan Schoop - DET,$1 
Ryan McMahon - COL,$1 
Cesar Hernandez - CLE,$1 
