Player,Price
Fernando Tatis Jr. - SD,$47 
Trea Turner - WSH,$39 
Trevor Story - COL,$37 
Manny Machado - SD,$30 
Xander Bogaerts - BOS,$27 
Francisco Lindor - NYM,$27 
Corey Seager - LAD,$26 
Bo Bichette - TOR,$26 
Alex Bregman - HOU,$25 
Adalberto Mondesi - KC,$21 
Tim Anderson - CWS,$20 
Gleyber Torres - NYY,$18 
Javier Baez - CHC,$17 
Ketel Marte - ARI,$13 
Marcus Semien - TOR,$12 
Carlos Correa - HOU,$9 
Dansby Swanson - ATL,$9 
Didi Gregorius - PHI,$8 
Isiah Kiner-Falefa - TEX,$5 
Paul DeJong - STL,$5 
Jean Segura - PHI,$5 
Jorge Polanco - MIN,$3 
David Fletcher - LAA,$2 
Chris Taylor - LAD,$2 
Tommy Edman - STL,$2 
Nick Ahmed - ARI,$1 
Willi Castro - DET,$1 
