Player,Price
Jacob deGrom - NYM,$48 
Gerrit Cole - NYY,$40 
Shane Bieber - CLE,$35 
Max Scherzer - WSH,$28 
Walker Buehler - LAD,$27 
Yu Darvish - SD,$26 
Clayton Kershaw - LAD,$25 
Trevor Bauer - LAD,$22 
Jack Flaherty - STL,$21 
Lucas Giolito - CWS,$19 
Aaron Nola - PHI,$19 
Luis Castillo - CIN,$18 
Blake Snell - SD,$18 
Dinelson Lamet - SD,$18 
Tyler Glasnow - TB,$17 
Brandon Woodruff - MIL,$17 
Carlos Carrasco - NYM,$14 
Zack Greinke - HOU,$14 
Stephen Strasburg - WSH,$13 
Hyun Jin Ryu - TOR,$13 
Charlie Morton - ATL,$12 
Chris Paddack - SD,$12 
Zac Gallen - ARI,$11 
Kyle Hendricks - CHC,$11 
Kenta Maeda - MIN,$10 
Jose Berrios - MIN,$10 
Sonny Gray - CIN,$10 
Lance Lynn - CWS,$10 
Joe Musgrove - SD,$10 
Lance McCullers Jr. - HOU,$10 
Chris Sale - BOS,$10 
Zack Wheeler - PHI,$9 
Corbin Burnes - MIL,$8 
Jesus Luzardo - OAK,$7 
Patrick Corbin - WSH,$7 
James Paxton - SEA,$7 
Corey Kluber - NYY,$7 
Framber Valdez - HOU,$6 
Kevin Gausman - SF,$6 
Max Fried - ATL,$6 
Andrew Heaney - LAA,$6 
Pablo Lopez - MIA,$6 
Sixto Sanchez - MIA,$6 
Sean Manaea - OAK,$6 
Shohei Ohtani - LAA,$5 
Dylan Bundy - LAA,$5 
Frankie Montas - OAK,$5 
Zach Plesac - CLE,$5 
Mike Soroka - ATL,$5 
Luis Severino - NYY,$5 
Julio Urias - LAD,$4 
Diego Castillo - TB,$4 
German Marquez - COL,$4 
Ian Anderson - ATL,$4 
David Price - LAD,$4 
Marco Gonzales - SEA,$4 
Jose Urquidy - HOU,$4 
Chris Bassitt - OAK,$4 
Marcus Stroman - NYM,$4 
Miles Mikolas - STL,$4 
Noah Syndergaard - NYM,$4 
Drew Pomeranz - SD,$3 
Chad Green - NYY,$3 
Eduardo Rodriguez - BOS,$3 
Jameson Taillon - NYY,$3 
Kwang Hyun Kim - STL,$3 
Jordan Montgomery - NYY,$3 
Josh Lindblom - MIL,$3 
Triston McKenzie - CLE,$3 
Michael Pineda - MIN,$3 
Dustin May - LAD,$2 
Ryan Yarbrough - TB,$2 
Tony Gonsolin - LAD,$2 
Freddy Peralta - MIL,$2 
Jordan Romano - TOR,$2 
Seth Lugo - NYM,$2 
Zach Eflin - PHI,$2 
Mike Minor - KC,$2 
Robbie Ray - TOR,$2 
Matthew Boyd - DET,$2 
Chris Archer - TB,$2 
Jake Odorizzi -,$2 
Tyler Mahle - CIN,$2 
Nathan Eovaldi - BOS,$1 
Alex Wood - SF,$1 
Elieser Hernandez - MIA,$1 
