Player,Price
Jose Ramirez - CLE,$40 
Manny Machado - SD,$30 
Rafael Devers - BOS,$29 
Alex Bregman - HOU,$25 
Anthony Rendon - LAA,$24 
DJ LeMahieu - NYY,$21 
Nolan Arenado - STL,$20 
Vladimir Guerrero Jr. - TOR,$20 
Eugenio Suarez - CIN,$19 
Jeff McNeil - NYM,$12 
Kris Bryant - CHC,$12 
Matt Chapman - OAK,$12 
Max Muncy - LAD,$10 
Mike Moustakas - CIN,$10 
Miguel Sano - MIN,$10 
Cavan Biggio - TOR,$9 
Yoan Moncada - CWS,$9 
Ian Happ - CHC,$8 
Alec Bohm - PHI,$8 
Justin Turner - LAD,$7 
Gio Urshela - NYY,$6 
Brian Anderson - MIA,$6 
Isiah Kiner-Falefa - TEX,$5 
Josh Donaldson - MIN,$5 
Jean Segura - PHI,$5 
Austin Riley - ATL,$5 
Kyle Seager - SEA,$4 
Yuli Gurriel - HOU,$4 
Eduardo Escobar - ARI,$3 
Ke'Bryan Hayes - PIT,$3 
Nick Solak - TEX,$3 
Hunter Dozier - KC,$3 
David Fletcher - LAA,$2 
Tommy Edman - STL,$2 
Jeimer Candelario - DET,$1 
Ryan McMahon - COL,$1 
Willi Castro - DET,$1 
