last_name, first_name,player_id,year,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_game,b_hit_by_pitch,b_sac_bunt,b_sac_fly,r_run,Points
Pujols, Albert,405395,2021,275,296,65,45,3,0,17,45,14,0.236,0.433,0.284,0.717,50,0,2,109,5,0,2,29,248.5
Cabrera, Miguel,408234,2021,472,526,121,90,16,0,15,118,40,0.256,0.386,0.316,0.701,75,0,0,130,5,0,9,48,366
Rivera, Rene,425784,2021,69,78,16,11,3,0,2,29,4,0.232,0.362,0.282,0.644,9,0,0,25,2,3,0,8,42.5
Wainwright, Adam,425794,2021,57,74,7,5,2,0,0,25,3,0.123,0.158,0.135,0.293,4,0,0,33,0,14,0,1,8.5
Molina, Yadier,425877,2021,440,473,111,81,19,0,11,79,24,0.252,0.37,0.296,0.666,66,0,3,121,5,0,3,45,335.5
Suzuki, Kurt,435559,2021,219,247,49,35,8,0,6,44,12,0.224,0.342,0.291,0.634,16,0,0,72,11,2,3,17,125
Cruz Jr., Nelson,443558,2021,513,584,136,82,21,1,32,126,51,0.265,0.497,0.332,0.829,86,0,3,140,7,0,9,79,507
Peralta, David,444482,2021,487,538,126,80,30,8,8,92,46,0.259,0.402,0.325,0.728,63,1,2,150,3,0,2,57,385
Pina, Manny,444489,2021,180,208,34,15,6,0,13,38,22,0.189,0.439,0.293,0.732,33,0,0,75,5,0,1,27,180
Escobar, Alcides,444876,2021,319,349,92,65,21,2,4,56,17,0.288,0.404,0.338,0.742,28,0,3,75,9,2,2,53,242
Jay, Jon,445055,2021,14,14,5,5,0,0,0,2,0,0.357,0.357,0.357,0.714,1,0,0,5,0,0,0,2,8
Longoria, Evan,446334,2021,253,291,66,36,17,0,13,68,35,0.261,0.482,0.351,0.833,46,1,1,81,1,0,2,45,262
Lobaton, Jose,446653,2021,11,13,0,0,0,0,0,5,2,0,0,0.154,0.154,0,0,0,6,0,0,0,1,0.5
Hill, Rich,448179,2021,24,26,3,3,0,0,0,10,0,0.125,0.125,0.115,0.24,0,0,0,16,0,2,0,0,-2
Morton, Charlie,450203,2021,55,62,7,6,1,0,0,31,0,0.127,0.145,0.113,0.258,1,0,0,31,0,7,0,5,-0.5
Fowler, Dexter,451594,2021,20,21,5,5,0,0,0,6,1,0.25,0.25,0.286,0.536,1,0,1,7,0,0,0,3,10
Lester, Jon,452657,2021,48,51,8,5,2,0,1,24,2,0.167,0.271,0.196,0.467,3,0,0,27,0,1,0,3,12
Cabrera, Asdrubal,452678,2021,309,352,71,43,21,0,7,80,36,0.23,0.366,0.313,0.678,42,0,1,110,3,0,4,34,232
LeBlanc, Wade,453281,2021,11,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,2,0,0,-1.5
Scherzer, Max,453286,2021,59,63,0,0,0,0,0,28,0,0,0,0,0,1,0,0,28,0,3,1,0,-12
Arrieta, Jake,453562,2021,23,30,3,3,0,0,0,16,2,0.13,0.13,0.2,0.33,0,0,0,24,1,4,0,3,1
Blackmon, Charlie,453568,2021,514,582,139,97,25,4,13,91,54,0.27,0.411,0.351,0.761,78,0,3,150,11,0,3,76,468.5
