Salvador Perez,20
Paul Goldschmidt,6
Eduardo Escobar,3
Max Muncy,13
Carlos Correa,6
Mitch Haniger,8
Teoscar Hernandez,11
Brandon Lowe,11
Bo Bichette,1
Max Fried,1
Lance Lynn,7
Max Scherzer,11
Corbin Burnes,19
Zack Wheeler,17
Raisel Iglesias,15
Freddy Peralta,15
Ryan Pressly,2
Julio Urias,20
Kevin Gausman,19
Kyle Seager,5
Marcus Semien,10
Bryan Reynolds,12
Austin Riley,17
Austin Meadows,2
Vladimir Guerrero Jr.,14
Robbie Ray,15
Charlie Morton,5
Liam Hendriks,17
Josh Hader,16
Matt Olson,6
Jose Altuve,4
Tommy Edman,4
Jordan Romano,2
Jorge Polanco,8
Ryan Mountcastle,1
Jesse Winker,1
Brandon Woodruff,6
Nick Castellanos,3
Joe Musgrove,2
Justin Turner,3
Ozzie Albies,4
Whit Merrifield,1
Walker Buehler,6
Kenley Jansen,3
C.J. Cron,2
Bryce Harper,1
Chris Bassitt,1
Starling Marte,1
Frankie Montas,1
Andrew McCutchen,1
Jonathan Schoop,1
